id	control2		Sailfish	Salmon	STAR
AT4G33960	36.14		41.7803	42.433794	27.450904
AT4G33970	0.5		0.38954	0.357938	0
AT4G33980	12.51		13.4549	12.684321	163.034554
AT4G33985	8.08		11.0336	10.902692	0
AT4G33990	2.09		2.125861	1.893237	30.612711
AT4G34000	39.19		54.46104	49.55092	9.557308
AT4G34020	15.7		21.05745	19.072267	43.590982
AT4G34030	21.99		25.2454	23.351126	177.508479
AT4G34040	13.8		15.2193	13.991685	7.024075
AT4G34050	88.9		179.074	119.98038	0
AT4G34060	0.62		0.740133	0.679512	84.029802
AT4G34070	15.36		33.0558	30.33204	3.062693
AT4G34080	0		0	0	0
AT4G34090	8.99		26.26234	21.096896	1.322972
AT4G34100	41.58		48.8222	43.32165	0
AT4G34110	212.35		224.859	206.145117	3.269828
AT4G34120	92.44		112.698	106.142891	13.224258
AT4G34131	1.34		1.62489	1.471242	15.177329
AT4G34135	5.4		5.743627	5.32793	11.363489
AT4G34138	25.84		24.0394	23.35866	71.589346
AT4G34139	0		11.1025	6.615075	10.797316
AT4G34140	17.86		20.83274	18.763709	10.078314
AT4G34150	46.43		49.3194	46.246252	96.907769
AT4G34160	29.92		32.0067	29.746469	0.179295
AT4G34170	0		0	0	5.179555
AT4G34180	42.44		50.3793	47.056898	11.552225
AT4G34190	125.9		144.867	139.9357	67.424976
AT4G34200	51.4		59.0768	54.292746	0
AT4G34210	0		0	0	28.586058
AT4G34215	52.9		70.36818	64.545219	21.965038
AT4G34220	22.32		24.0016	22.042272	0.217725
AT4G34230	19.85		23.92364	21.631842	37.477568
AT4G34240	21.71		25.93349	23.746678	4.101108
AT4G34250	7.25		7.59488	7.041893	0
AT4G34260	25.79		26.8183	24.6306	0
AT4G34265	78.18		117.409081	114.408963	109.105314
AT4G34270	18.55		22.5543	21.192873	0
AT4G34280	8.61		10.3401	9.532628	0
AT4G34290	42.95		60.4543	59.529162	5.038535
AT4G34300	0		0	0	15.789045
AT4G34310	3.82		4.453924	4.037492	1.284189
AT4G34320	0		0	0	13.935564
AT4G34330	0		0	0	1.229423
AT4G34340	4.73		5.75833	6.395547	2.785643
AT4G34345	0		3.93304	5.210648	20.764196
AT4G34350	107.16		127.171	118.350324	23.508494
AT4G34360	3.35		4.13463	3.940647	22.163287
AT4G34370	10.87		12.98731	11.977412	23.099122
AT4G34380	0		0	0	0
AT4G34390	10.49		11.926208	10.970441	8.442778
AT4G34400	0		0	0	20.306786
AT4G34410	29.44		40.1449	37.805575	11.80837
AT4G34412	11.73		19.3548	19.138953	0
AT4G34419	0		0	0	28.420544
AT4G34420	0.9		1.18831	1.113896	40.285587
AT4G34430	12.32		14.334562	12.892065	102.496575
AT4G34440	0		0	0	8.973213
AT4G34450	87.16		73.8801	67.389809	34.26285
AT4G34460	50.09		74.07821	68.070587	0.114002
AT4G34470	0		0	0	18.588066
AT4G34480	24.08		27.38977	25.528822	7.291627
AT4G34490	36.79		40.63731	37.68197	0.478439
AT4G34500	5.7		6.55287	6.09728	38.509021
AT4G34510	1.65		1.53153	1.42067	0
AT4G34520	0		0	0	0
AT4G34530	0		31.5296	28.817966	0
AT4G34540	1.93		3.92438	3.994028	13.877247
AT4G34550	0		0	0	16.06688
AT4G34555	47.25		74.7461	76.335325	9.709737
